File Number,First Name:Principal Author,Last Name:Principal Author,Institution of Principal Author:Principal Author,Co Authors: Ê:Principal Author,White Paper Title,White Paper Description (350 character limit),File Link Ê
11,Son,Nghiem,"Jet Propulsion Laboratory, California Institute of Technology","Cinzia Zuffada, Rashmi Shah, Stephen Lowe, and Clara Chew",Critical Roles of Wetlands in Methane Emission and Terrestrial Water Storage in a Changing Climate,"Wetland dynamics is crucial to changes in both atmospheric methane and terrestrial water storage in a changing climate.  IGBP-GAIM,  IPCC AR5, and Ramsar Convention hightlight the current deficiency  in global wetland dynamics monitoring, which urgently demands a new break-through approach in synergy with current surface  and satellite methods.",http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/15647/2289356/44-d3d813175cbcc655d9a7db7158d767cd_NghiemSonV.docx
12,Richard,Gross,"Jet Propulsion Laboratory, California Institute of Technology",Yoaz Bar-Sever,Terrestrial Reference Frame,"The terrestrial reference frame (TRF) is the foundation for virtually all space-based, airborne and ground-based Earth observations. But the most accurate reference frames available today are a factor of 5-10 less accurate than required. A satellite dedicated to improving the TRF is needed in order to meet the target requirement in a timely manner.",http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/15647/2289356/184-64d0ae154f2d8b733756442e425be780_GrossRichardS.pdf
13,Nathaniel,Livesey,"Jet Propulsion Laboratory, California Institute of Technology","M. L. Santee, J. L. Neu, H. Su, L. Froidevaux, L. F. Mill‡n, B. J. Drouin, J. H. Jiang, G. L. Manney, W. G. Read, A. Lambert, M. J. Schwartz, S. Wang, R. F. Jarnot",The critical role of the upper troposphere and stratosphere in climate and air quality,"We review outstanding science questions for Earth's upper troposphere and stratosphere and highlight critical needs for high vertical resolution measurements to address them. We emphasize the anticipated ""gap"" in such measurements in the coming decade, highlighted in international assessments, and note new capabilities enabled by NASA investments.",http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/15647/2289356/36-6971c9a5712b94874640c143a25ff73e_LiveseyNathanielJ.pdf
14,Xubin,Zeng,University of Arizona,"Steve Ackerman, Robert D. Ferraro, John J. Murray, Steven Pawson, Carolyn Reynolds, Joao Teixeira",Scientific Challenges and Opportunities in the NASA Weather Focus Area,"This White Paper is based on the NASA Weather Focus Area Community Workshop attended by about 70 invited participants in April 2015. Eleven science questions were raised, and seeking their answers led to four recommendations for measurements and Observing System Simulation Experiments, and three for modeling, data assimilation, and computing.",http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/15647/2289356/66-17df8878d2338402963114cecb8f1598_ZengXubin.pdf
15,Neil,Weston,National Geodetic Survey,,A White Paper on Significant Challenges in Earth System Science: Perspectives from the National Geodetic Survey,White paper on geodesy,http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/15647/2289356/36-c019aa226d80d499fcae367b47f7927e_DecadalSurvey-NGS-WhitePaper-final.pdf
16,Bjorn,Stevens,Max Planck Institute for Meteorology,"Sandrine Bony, Robert Pincus, Steven C. Sherwood, Masahiro Watanabe,  Dargan M. W. Frierson, Christian Jakob, Masa Kageyama, Ted G. Shepherd, A. Pier Siebesma, Adam H. Sobel and Mark J. Webb","Observational opportunities for addressing the Grand Science Challenge on Clouds, Circulation and Climate Sensitivity","We discuss observations important to the WCRP Grand Science Challenge on Clouds, Circulation and Climate Sensitivity. We focus on four questions essential to assessing the magnitude of global changes (climate sensitivity, relevant to mitigation) and advancing predictions of regional climate changes (relevant to adaptation measures).",http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/15647/2289356/36-1dfe7f57edc67028b7bb180b3124fc4b_StevensBjorn.pdf
17,Richard,Edwing,Center for Operational Oceanographic Products and Services,"Steve Gill, Greg Dusek",Addressing gaps in nearshore salinity measurements - A white paper submitted by NOS/CO-OPS,White paper on salinity measurements,http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/15647/2289356/36-e354af88353019b45e429d4a13bdf53d_salinitywhitepaper_nos_coops-final.pdf
18,Duane,Waliser,Jet Propulsion Laboratory/Caltech,"Gilbert Brunet (Environment Canada), Paul Dirmeyer (GMU), Harry Hendon (Centre for Australian Weather and Climate Research), Ben Kirtman (U. Miami), Randal Koster (GSFC/NASA), Arun Kumar (NCEP/NOAA), Hai Lin (Environment Canada), Pierre Lermusiaux (MIT), Eric Maloney (CSU), Mitch Moncrieff (NCAR), Michel Rixen (World Climate Research Program), Andrew Robertson (IRI), Ken Sperber (LLNL/DOE), Frederic Vitart (ECMWF), Duane Waliser (Jet Propulsion Laboratory/Caltech), Chidong Zhang (U. Miami)",Advancing the Science and Societal Benefits of Subseasonal to Seasonal (S2S) Environmental Prediction,"Demands are growing rapidly for environmental forecasts in the subseasonal to seasonal (S2S) range. Impacted areas include the water, food, energy, transportation and hazard sectors. A great return on investment is expected if S2S science and modeling can be advanced.  These advances hinge on maintaining and enhancing relevant observing systems.",http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/15647/2289356/184-53796e216767164cd6c06a479cc1021c_WaliserDuaneE.pdf
19,Peggy,O'Neill,NASA Goddard Space Flight Center,"Randy Koster/NASA GSFC, Jeffrey Piepmeier/NASA GSFC, Wade Crow/USDA ARS, Tom Jackson/USDA ARS",Long-Term Low Frequency Microwave Observations for Environmental Applications and Climate Assessment,"In a future of changing climatic conditions, the availability of water resources (or lack thereof) at a specific location or across regions of interest becomes a key factor leading to economic and societal stress.  This paper addresses the need for long-term low frequency microwave observations to improve knowledge of changing water availability.",http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/15647/2289356/44-62237e38b55c38ee7a0767ec01b8eb1e_ONeillPeggyE.docx
20,Jeffrey,Love,"US Geological Survey, Geomagnetism Program","Anna Kelbert, E. Joshua Rigler, Antti Pulkkinen",Geoelectromagnetic analysis for fundamental understanding and hazard mitigation,Geospace-Earth geomagnetic science modeling for fundamental understanding and hazard mitigation,http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/15647/2289356/246-6201fe0218c2815ec071340810f84353_White+paper+-+SSB+2015+-+final.docx
21,Mike,Johnson,National Weather Service (NOAA/DOC),Kim Runk,Data Use Considerations for Application of Decadal Missions in Operational Weather Support,The criteria used for successful application of ÒresearchÓ missions in weather ÒoperationsÓ has evolved due to a number of factors outlined in this paper.  It is our hope that the next NASA decadal mission programs will coordinate early with operational users so plans can be made to exploit these systems for operational purposes.,http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/15647/2289356/66-565c48eda242e771e575afa6c90efad8_JohnsonMikeW.pdf
22,Timothy,Schmit,NOAA/NESDIS Center for SaTellite Applications and Research (STAR),"Steve Ackerman, Jun Li, Ralph Petersen, Dave Tobin",Advanced high-spectral resolution infrared geostationary observations,"There are many potential uses for advanced high-spectral resolution infrared geostationary measurements: radiances, vertical moisture, atmospheric instability, improved atmospheric motion vectors, surface emissivity, cloud properties aerosols and trace gases. The geostationary perspective allows for a rapid refresh. There is a gap over the U.S.",http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/15647/2289356/246-392b263c985fceec662468e7a4154d1c_SchmitTimothyJ.docx
23,Anthony,Del Genio,NASA/Goddard Institute for Space Studies,"Steven Platnick, Ralf Bennartz, Stephen Klein, Roger Marchand, Lazaros Oreopoulos, Robert Pincus, Robert Wood",Low Clouds: Drivers of Climate Sensitivity and Variability,"The central role of low clouds in the uncertainty in  global climate sensitivity and erroneous simulations of important modes of climate variability are discussed. The role of satellite data in addressing these questions, the impact of continuing and improving current capabilities, and needed development of emerging technologies are described.",http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/15647/2289356/246-03d9602eba34a3971ccd5d0a8046c418_DelGenioAnthonyD.pdf
24,Zhenglong,Li,"University of Wisconsin-Madison, Space Science and Engineering Center","Jun Li, Timothy J. Schmit, Robert O. Knuteson, Eva E. Borbas, Jinlong Li",Advanced geostationary measurements: Diurnal Land Surface Emissivity,"A geostationary hyperspectral infrared sounder would add diurnal variations to the land surface emissivity products. The high temporal resolution would help better characterize accurate emissivity, which will benefit many applications: land surface modeling, radiance assimilation, and many satellite remote sensing products.",http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/15647/2289356/66-b08cb1561d189599f151e25295b5a0c9_LiZhenglong.docx
25,Dara,Entekhabi,MIT,"Joel Johnson, Mahta Moghaddam, Binayak Mohanty, Sassan Saatchi, Eric Small, Simon Yueh","Groundwater Recharge and Evapotranspiration: Fluxes at the Interface of Water, Energy, Biogeochemical and Human Systems",Recharge and evapotranspiration have already-realized several-fold changes as a result of land-use change. Their future is highly uncertain. They fields are not measured adequately and even their climatology is not well known.  We propose understanding their dynamics as a grand challenge and propose a global mapping technology to address it.,http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/15647/2289356/66-59230361b3a58dc1142e07a48ff9c2b9_EntekhabiDara.pdf
26,Donald,Argus,"Jet Propulsion Laboratory, California Institute of Technology","Felix Landerer, David Wiese, J.T. Reager, Tom Farr, Jay Famiglietti (all at JPL)",Evaluating changes in continental water resources,Use space observations to determine changes in total continental water and place in the context of conventional hydrologic measurements.,http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/15647/2289356/246-9bc14dbf610b3cfae585cb3289a9deec_ArgusDonaldF.doc
27,Philip,Dennison,University of Utah,"Sander Veraverbeke, Nancy HF French, Margarita Huesca, Yufang Jin, Tatiana Loboda, Jim Randerson, Dar Roberts, Brendan M Rogers, E. Natasha Stavros, Amin Tayyebi, Mike Tosca, Jun Wang",Burning Questions: Critical Needs for Remote Sensing of Fire Impacts on Ecosystems,"This paper summarizes critical Earth science questions related to fire processes. New types of space-based observations are required to advance our understanding of fire impacts on the carbon and water cycles, ecosystem processes, and ecosystem services. These new observations are urgent due to rapidly changing fire regimes, ecosystems and climate.",http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/15647/2289356/36-3c69e4a5410a49ecb371c79e96bb745e_DennisonPhilipE.pdf
28,Constantine,Lukashin,NASA Langley Research Center,"R.R. Baize, C. Bruegge, J.J. Butler, C. Cao, R. Cooke, C. Currey, D. Diner, D. Doelling, R.E. Eplee, B. Franz,  N. Fox, D. Goldin, D. Helder, T. Hewison, G. Kopp, J. Leckey, N.G. Loeb, A. Lyapustin, K. Lykke, J. McCorkel, G. Meister, S. Platnick, P. Pilewskie, K. Priestly, C.M. Roithmayr, Y.L. Shea, P.W. Speth, T.C. Stone, W. Sun, K. Thome, S. Wagner, B.A. Wielicki, J.T. Woodward, X. Xiong",Accurate Inter-Calibration of Spaceborne Reflected Solar Sensors,"In this white paper we describe the urgent need for accurate on-orbit inter-calibration of reflected solar sensors as a key challenge of Earth System Science. We illustrate the inter-calibration science objectives, expected impact and societal benefits from improved accuracy of the Earth observing system.",http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/15647/2289356/44-1c6fefb8253f048abf1b11233d93122b_LukashinConstantine.pdf
29,Helen,Worden,National Center for Atmospheric Research (NCAR),David Edwards,Accelerating the combined use of policy-relevant data and advanced atmospheric models to support air quality and climate decision making,"We describe the key challenges and potential capabilities for future policy-relevant data, in particular spatially and temporally dense observations of methane and tracers of atmospheric pollution such as carbon monoxide. These observations, when assimilated in modeling frameworks, are essential to support air quality and climate decision making.",http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/15647/2289356/36-d4604be628f027386c33cfa347e9e7f0_WordenHelenM.pdf
30,Michael,Behrenfeld,Oregon State University,"Jorge Sarmiento, Chris Hostetler",A decade of success in ocean remote sensing and a vision for the future,Response to Decadal Survey Request for Information with focus on ocean observations but including links to atmospheric sciences,http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/15647/2289356/44-cebbae75378cbecabe2d29ef28658788_BehrenfeldMichaelJ.pdf
31,Daniel,Jacob,Harvard University,NASA Air Quality Applied Sciences Team (AQAST),Air quality and climate forcing over North America in the next decade,Air quality management challenges in the US are evolving rapidly and are increasingly convolved with climate forcing issues. We make the case  that a long-term UV/Vis/SWIR/TIR geostationary satellite mission over North America in the next decade is critical for addressing these challenges.,http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/15647/2289356/36-83ea3c8fd4d4f1f608e276a2e5d36dca_JacobDanielJ.docx
32,Ralph,Ferraro,NOAA/NESDIS,"NOAA/NESDIS, NOAA/OAR, NOAA/NWS",An End to End Water Cycle Mission Focusing on Cloud and Precipitation Processes,"The focus of this white paper is to describe the scientific need and operational implications of an advanced water cycle mission that builds off the legacy of TRMM, GPM, CloudSat and SMAP.",http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/15647/2289356/36-4e5d7fabff2cc1c79cf7dd773e5f837d_FerraroRalph.pdf
33,Forrest G,Hall,NASAGSFC/UMBC,"Scott J. Goetz,Andrew Elmore,Lucy Hutyra,Chris Justice,Curtis Woodcock,Geoff Henebry,Matt Hansen,Tom Loveland, Jeff Masek,Andy Hansen, Matthew Clark, Forrest Melton, George Hurtt, Dar Roberts,Andy Hudak, Mike Falkowski, Ralph Dubayah, Jim Irons, Dave Schimel,Kenneth Davis, Colm Sweeney, Hank Margolis, Chris Williams Randy Kawa, Ben Bond-Lamberty, Chip Miller, Mike Wulder, Lahouari Bounoua, Jim Collatz, Josh Fisher, Tomohiro Oda, Jon Ranson,Thomas Hilker, Robert Tueuhauf, Amy Neuenschwander, Bruce Cook, Nancy Glenn, Crystal Schaaf, Son Nghiem, Simon Hook","Terrestrial Ecology, Carbon Cycle, Land Use / Land Cover Change, and Biodiversity (TECLUB) Priority Science Questions and Measurements","A 1500 word  summary of a two and a half day  Oct 2014 workshop engaging the TECLUB science communities to describe and prioritize research and measurements required to support key societal information needs, and to produce a  detailed description of their findings. 50 scientists participated in the workshop and  in the writing of the paper.",http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/15647/2289356/36-6c1da70f919a98f78d2842901a82ba3c_TECLUB+1500+word+Submission.pdf
34,Gerald,Mace,University of Utah,"Arlindo Da Silva, Richard Ferrare, Michael Behrenfeld,Graham Feingold, Lazoros Oreopoulos, Brian Cairns, Bastiaan Van Diedenhoven,  Roger Marchand, Michael J. Garay, David J. Diner, David Winker",The Link Between Climate Sensitivity Uncertainty and Understanding Cloud-Aerosol Interactions,How marine boundary layer clouds change in a warming world is a central cause of the disparity among climate models in predicting the Earth's climate sensitivity.  We argue that observational capabilities must keep pace with modeling capabilities if the climate sensitivity of the Earth to CO2 doubling is to be predicted with necessary accuracy.,http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/15647/2289356/66-85328540b6225db2ac21476e1ed90c19_MaceGeraldG.pdf
35,Alicia,Joseph,NASA Goddard Space Flight Center,"Christa D. Peters-Lidard,  Randal D. Koster,  Jeffrey G. Masek, Elizabeth M. Middleton,  Martha Anderson, Thomas Holmes, Peggy E. O'Neill, Joseph A. Santanello Jr.,  Matthew Rodell, Joanna Joiner,  William B. Cook, Douglas C. Morton,  Jeffrey R. Piepmeier, Donald E. Jennings",Characterizing water use and water stress to assess food and water security,Two key elements of the water cycle-carbon cycle connectionÑthe impacts of water stress on ecosystem production and the impacts of ecosystem production on water availabilityÑmust be addressed through joint measurements of photosynthetic productivity and hydrological states and fluxes.  Such measurements are critical for food and water security.,http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/15647/2289356/184-12a1537ace05e3a596a0300dce850eb3_JosephAliciaT.pdf
36,Ziad,Haddad,"Jet Propulsion Laboratory, California Institute of Technology","Wei-Kuo Tao, T.N. Krishnamurti, Greg Tripoli, Robert A. Houze, Sue Van den Heever, Anthony D. Del Genio, Ralph Milliff, Gail S. Jackson, Guosheng Liu, Ralf Bennartz , Dan Cecil, Courtney Schumacher, Steve Nesbitt, Timothy Liu, Simone Tanelli, Svetla Hristova-Veleva, Amy Braverman",Direct observations of the dynamics of tropical convection,"The paper summarizes why it is important and timely to start making systematic observations of the dynamics of tropical convection, if we are to make significant strides forward in short-term weather prediction, sub-seasonal to seasonal forecasting, and climate-scale modeling.",http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/15647/2289356/36-5df43bf869d40c538cfc40e711dd4b49_HaddadZiadS.docx
37,Susann,Tegtmeier,GEOMAR Helmholtz Centre for Ocean Research Kiel,Michaela Hegglin,Satellite limb observations of UTS composition,The white paper provides information on future key challenges in the field of atmospheric chemistry in the climate system and the impending gap of new limb satellite missions.,http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/15647/2289356/243-9302431505f711a9fac6ebf9ea5af189_TegtmeierSusann.pdf
38,Bryan,Duncan,NASA,"James B. Abshire, Abhishek Chatterjee, Yasin Elshorbany, Arlene M. Fiore , Daniel J. Jacob, Stephan R. Kawa , Lesley E. Ott, Paul I. Palmer, Haris Riris, Sarah A. Strode, James S. Wang","Long-term, Global, and Space-Based Constraints on MethaneÕs Emissions and the Factors that Control Them","This white paper describes the urgent need for a comprehensive observing network of 1) atmospheric methane so as to constrain global, regional and sectoral emission sources, and 2) the processes that influence natural methane emissions from wetlands and permafrost thaw.",http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/15647/2289356/44-ed925c1d591a5fa60537c49b85b82790_DuncanBryanN.pdf
39,von Clarmann,Thomas,KIT/IMK,"Gabriele P. Stiller, Bernd Funke, Manuel Lopez-Puertas",Fight the Limb Gap: Need for High-Resolution Limb-Emission Measurements,"With the decline of the golden age of Earth observation there will be a gap with respect to limb observations. Global altitude resolved fields of the atmosphere's constituents are necessary to monitor and diagnose changes in atmospheric circulation, stratospheric water vapor, the sulphur cycle, ozone recovery and solar terrestrial interaction.",http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/15647/2289356/36-b6bdbc1b38d2c221f3be5e1dec61db22_vonClarmannThomas.pdf
40,Kristopher,Bedka,NASA Langley Research Center,"Rosemary Baize, Craig Nickol, Jeremy Smith, Frank Jones, Rita Bryant, and Guy Kemmerly",Use of Long Endurance Uncrewed Aerial Vehicles to Complement the Space-Based Earth Observing System,"The need for measurements with multiple instruments and platforms is well-recognized but available budgetary resources are limited.  New types of affordable alternative platforms are needed to answer key questions.  This NOI describes how one alternative platform, long endurance UAVs, can greatly complement space-based measurements.",http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/15647/2289356/66-4366ee16952282ef7e0418b67b42c543_BedkaKristopherM.pdf
41,James,Anderson,Harvard University,Steven C. Wofsy,Coupling Between Climate Forcing and Stratospheric Ozone Loss Over the US in Summer: UV Dosage Levels and Human Health,"A key example of the coupling between climate forcing and human health resides at the intersection of deep stratospheric convective injection over the US in summer, retention of that convective injection within the summer anti-cyclonic gyre in the lower stratosphere, and the resulting catalytic removal of ozone by ClO and BrO radicals.",http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/15647/2289356/183-14ff66b5e4d2f18b0abbfc400dccd1de_Decadal+Survey+Stratosphere+10292015.pdf
42,James,Anderson,Harvard Uniersity,Steven C. Wofsy,Coupling Between Climate Forcing and Stratospheric Ozone Loss Over the US in Summer: UV Dosage Levels and Human Health,"A key example of the coupling between climate forcing and human health resides at the intersection of deep stratospheric convective injection over the US in summer, retention of that convective injection within the summer anti-cyclonic gyre in the lower stratosphere, and the resulting catalytic removal of ozone by ClO and BrO radicals.",http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/15647/2289356/243-2f6e207105687e96de25059907ddfd36_AndersonJamesG.pdf
43,Seiji,Kato,NASA Langley Research Center,"Bruce A. Wielicki, Yolanda L. Shea, Peter Pilewskie, Zhonghai Jin, Martin G. Mlynczak, Xianglei Huang","Detecting atmospheric temperature, humidity, and cloud property changes by average-then-retrieve approach","We discuss needs for an alternative approach suitable for climate change signal detection but complementary to approaches currently used in retrieving temperature, humidity, and cloud properties using satellite measurements.",http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/15647/2289356/184-373358cf03355dd87d37da13700fbc3b_SeijiKato.docx
